shard_index,shard_name,tile_count,first_tile_id,last_tile_id,size_bytes,sha256,elapsed_seconds
0,tiles-00000.tar,4096,WSI-1_x7616_y448,WSI-9_x10304_y6272,219627520,7f6191fcb99c0be7cd98ef8182dab860ed6907b1d6afc034255949b506bcf62f,0.155
1,tiles-00001.tar,4096,WSI-9_x10752_y6272,WSI-19_x9184_y11200,219238400,ecd0ecb8d10d3b412e3d3697254ed39066d540f16206f96b6fce875cd32daab7,6.757
2,tiles-00002.tar,4096,WSI-19_x10080_y11200,WSI-27_x4032_y13888,219074560,a549d773f4b962c758a8378cd309dee3db0940fb67d655a327a440ac7b5127e0,6.07
3,tiles-00003.tar,4096,WSI-27_x4480_y13888,WSI-37_x12320_y6272,218234880,7043016abdf76fcd11ce4c9e9a1404eb21fe36d5bbeea1c0596d7e8c3d4e8dec,7.118
4,tiles-00004.tar,4096,WSI-37_x13888_y6272,WSI-46_x5152_y2240,204718080,4fa86789283a8fe655dba9289dfb049ac85b8035be7daaa1817c40ed94073bef,7.051
5,tiles-00005.tar,4096,WSI-46_x5376_y2240,WSI-59_x14112_y5824,200806400,06d30dac8f3c2a3b107fac0658587ffdae4d9c78d1265659f94d3d5c95908b04,6.652
6,tiles-00006.tar,4096,WSI-59_x14336_y5824,WSI-66_x2688_y8736,204881920,a0f94e40af95e800e7031819bdea58d0b51aaaad9b288e84ba978c8b0cb6e2f3,6.579
7,tiles-00007.tar,4096,WSI-66_x3136_y8736,WSI-77_x2688_y4704,215080960,de51673271e5b6cd1fdb149d24bb2e76fcdc5126643718865ad82063ce457a6f,5.854
8,tiles-00008.tar,4096,WSI-77_x2912_y4704,WSI-89_x4256_y6272,238254080,30cc1e512ca5c398eb9c0327d85c899cb6c4340914dba69b9d513999e78641a7,7.363
9,tiles-00009.tar,4096,WSI-89_x4480_y6272,WSI-98_x11424_y2912,216934400,c35218ab1767a04ac1f58ae23d6f9e52356505a780bb69a0800da0b7e2ada0d8,7.342
10,tiles-00010.tar,4096,WSI-98_x11872_y2912,WSI-107_x5152_y3584,235315200,a1154e7e3281c0da57a9fb62c4fa6517fa4986dd3150734e46bd504a8a5b62de,7.031
11,tiles-00011.tar,4096,WSI-107_x5600_y3584,WSI-114_x5152_y2912,232775680,0887e216ad48ed3dcc0740a0345eb8c7437449fc42f0752fdcd346743ca8735d,6.396
12,tiles-00012.tar,4096,WSI-114_x5376_y2912,WSI-122_x7840_y2464,239052800,04e630f3108185c54a9fc572941b0adbd22caf6950bac028503cdef963c58460,7.147
13,tiles-00013.tar,4096,WSI-122_x9408_y2464,WSI-135_x4704_y4704,250685440,0817daeec8ded74873ec136fb68be0905a42610a5268028be4b507face3377c3,6.896
14,tiles-00014.tar,4096,WSI-135_x4928_y4704,WSI-143_x5600_y3136,241141760,049e7fc35234406312af6b580ae0d829509d75f0d21c933e9d8259f1a8519dd1,6.659
15,tiles-00015.tar,4096,WSI-143_x6720_y3136,WSI-152_x4256_y3584,234465280,9d6a5e8585a57e586952b7f88883fcec8abab30ce1167b243419ac1b60c2edd3,7.626
16,tiles-00016.tar,4096,WSI-152_x4480_y3584,WSI-163_x10080_y3360,244019200,437d71a93e55858b2ec3c4f9e25b31248c904e0b596b9b6c1246634f2a898708,7.858
17,tiles-00017.tar,4096,WSI-163_x10304_y3360,WSI-174_x12096_y2912,236574720,a15f116bbdb69216021c8131b6b1d074c90705c3b6f074a41daf0a547f079739,7.191
18,tiles-00018.tar,4096,WSI-174_x12320_y2912,WSI-182_x6272_y8512,233441280,3057abe22d9f86432f8947af21a6ac14340baaa057d50471275159a26420223e,6.515
19,tiles-00019.tar,4096,WSI-182_x6944_y8512,WSI-190_x6272_y9408,225873920,cb6b626af19c76697ebbf1ab7b093c64295aae91a27e64b8ee321f6dd80a3a31,6.941
20,tiles-00020.tar,4096,WSI-190_x6496_y9408,WSI-196_x12320_y10080,231864320,9e4e3a7977e590945b32332b820d7c76a3a83f36673dfd1a955102bfa0c2e3bd,6.675
21,tiles-00021.tar,4096,WSI-196_x3360_y10304,WSI-204_x6496_y10752,240537600,619edf2ae41e3e97a3d35c8f563cc45990d267abc16b0a8d8f36f4c211b0e5d7,7.1
22,tiles-00022.tar,4096,WSI-204_x7392_y10752,WSI-213_x5152_y8736,233809920,4e5d87a2e2cdfe2e9b138019cebfd6b2deb39414e8f163bab260959386d93a1c,7.251
23,tiles-00023.tar,4096,WSI-213_x6496_y8736,WSI-228_x12096_y11200,235151360,e3cbbe1a5640ece00680b6a1c6eaaf97901862032ceface098c049cb8f2e323e,7.203
24,tiles-00024.tar,4096,WSI-228_x12320_y11200,WSI-238_x9408_y9408,246046720,0f36d044973a67884d1a2167736f7f722e395f27d2ce63f6e993f45a6a74b5f8,7.452
25,tiles-00025.tar,4096,WSI-238_x9856_y9408,WSI-248_x10304_y8064,249067520,1973e937b7f24c9c3af187fd20f686a4520afedcd7dcc58df2c003717c58b49a,7.691
26,tiles-00026.tar,4096,WSI-248_x10976_y8064,WSI-258_x13216_y10080,216227840,584cf2b12a8980e7442b00f07a6d8b6e74dd8d676e09d2412ccde9db3881a3ec,7.182
27,tiles-00027.tar,4096,WSI-258_x13440_y10080,WSI-267_x6496_y8288,226918400,1859c8734d5af9914f0f60d37121c37cf840872fab898fd985c3c7b862fb71ab,7.427
28,tiles-00028.tar,4096,WSI-267_x6720_y8288,WSI-275_x4032_y9184,231331840,9a3d9a4c577ae054a00e8c1feba668ca928fa30daafde9c699c2246ff9797aef,7.528
29,tiles-00029.tar,4096,WSI-275_x4704_y9184,WSI-284_x4704_y8288,239728640,0d1ddbabf93015d10a0f0e0b47fbf4ef57a2f3cebc534c54c2912e1e73ae6d29,6.89
30,tiles-00030.tar,4096,WSI-284_x4928_y8288,WSI-292_x672_y7840,233072640,6a474295225a48373c9c1a66bfae62d9871e29e6a15ee7fea1d211cc36f8be89,6.859
31,tiles-00031.tar,4096,WSI-292_x896_y7840,WSI-302_x9632_y8064,234373120,4c39ce0dcb1bf616f9e2739cd6e0420d2ede3186162bbf759bef2cbeec7d6fda,7.167
32,tiles-00032.tar,4096,WSI-302_x10304_y8064,WSI-311_x4032_y11200,237025280,6178d8f70720c4bbcbd0d1bf3122c886feb3d5d61ceffb0fffe5f74ea8f4d69f,7.814
33,tiles-00033.tar,4096,WSI-311_x4256_y11200,WSI-320_x6496_y11424,229632000,21cee4fc7dd4292aaa8a47770e92f76d2c50246ee8b7dc872cce99894d4ab031,7.123
34,tiles-00034.tar,4096,WSI-320_x6720_y11424,WSI-329_x6944_y6944,228341760,b2dd92f26f95c7ea8ed1e08ceef78b6486adf340dcc5143e591db10f9e2aa00e,7.43
35,tiles-00035.tar,4096,WSI-329_x7168_y6944,WSI-341_x8512_y9632,230758400,6816f48922e65ebac542d62a4526243d2bcc714b7a29ebdc4e5534e3741ab59c,7.38
36,tiles-00036.tar,4096,WSI-341_x9408_y9632,WSI-349_x8960_y7392,239544320,fed1fd5e87be6e0e3ecd55ff2becff0252f5c10097308cd7626d50ab5770ecef,6.941
37,tiles-00037.tar,4096,WSI-349_x9184_y7392,WSI-355_x12992_y2240,253235200,4691ff157f7f3c67b93cd65012e919009e3366bb143c6658f67049054ce5a8a1,7.255
38,tiles-00038.tar,4096,WSI-355_x6944_y2464,WSI-359_x13664_y1792,238622720,087d005e0922d2978c43837b604540eeabb1f7434ce3d6570920dfa30e5166dd,6.646
39,tiles-00039.tar,4096,WSI-359_x13888_y1792,WSI-363_x10752_y3584,229181440,d8f0a79ab572503dcc7c6f517cd1fa6199b0c857dccdc4d304716dc6d947d1ca,7.31
40,tiles-00040.tar,4096,WSI-363_x10976_y3584,WSI-369_x7840_y1792,239923200,85e70c27e78b24678bee2070e7a909c55f187c9b7383ff4ef0c451f4d6de98b4,7.107
41,tiles-00041.tar,4096,WSI-369_x8064_y1792,WSI-374_x4704_y2912,241776640,2af6ae23fa7f493f7b63034da1906ea0085d7246c69889401d496be9062087f7,7.227
42,tiles-00042.tar,4096,WSI-374_x4928_y2912,WSI-379_x1568_y2688,241725440,16ecfa6858b5b8736e90ddd3c6bc3d80d970d2e6848fddd77957bc4ff6a55a3b,7.127
43,tiles-00043.tar,4096,WSI-379_x2464_y2688,WSI-385_x8736_y2240,231741440,551fd64ff85b920278a50cab08d934292fe8172471dab12a13c11105b066e14b,6.704
44,tiles-00044.tar,4096,WSI-385_x2464_y2464,WSI-389_x14560_y10976,222566400,06262a11a5f2342cb7ef91bff365526c57a27a095ac7c2de49cf1f691f3ea9d3,6.278
45,tiles-00045.tar,4096,WSI-389_x15008_y10976,WSI-393_x5152_y14560,226447360,8ab1db18c6a82ece1148edbf1452dcdd2b1ce20509ccc3feaee50184ff3b5978,6.503
46,tiles-00046.tar,4096,WSI-393_x5600_y14560,WSI-400_x6272_y4256,239411200,01f965fc8004292d5f04f08673c9ae8162f1854676c21b07935c738686a91b41,8.133
47,tiles-00047.tar,4096,WSI-400_x6720_y4256,WSI-405_x9856_y3808,233113600,03dfe8bd1cd3e2d1f78492ef5501a8a36c62f19db937439139f1e7b238a2563b,7.478
48,tiles-00048.tar,3880,WSI-405_x10304_y3808,WSI-408_x8736_y15008,240896000,57440aa4e641f22ae5ab4eded8948b3ba1fc48d472d761cc05171184426e8377,5.852
