representation,trial_index,c_value,class_weight,fold_count,macro_auroc_mean,macro_auroc_std,balanced_accuracy_mean,balanced_accuracy_std,composite_mean,composite_std,composite_sem,selection_score
metadata,11,10.0,balanced,15,0.5978896001724678,0.0730414905194171,0.2515873015873016,0.07682834501621048,0.42473845087988465,0.07057059559822275,0.01822124943225701,0.41562782616375615
metadata,9,1.0,balanced,15,0.597170689089685,0.07181326661516754,0.23730158730158732,0.07263291991531413,0.41723613819563615,0.06608070774464063,0.01706196537337284,0.40870515550894976
metadata,7,0.1,balanced,15,0.5845490285058089,0.06618756399279198,0.24770975056689343,0.08646745800100793,0.4161293895363512,0.07049978072623599,0.01820296511093244,0.407027906980885
metadata,10,10.0,none,15,0.5985775686145769,0.0773278955651806,0.22666666666666663,0.05509826139721881,0.41262211764062173,0.06009057316852163,0.015515319276382835,0.4048644580024303
metadata,3,0.001,balanced,15,0.5619607823929769,0.06890495030799366,0.2500226757369615,0.0654106188729926,0.4059917290649693,0.061841441777955856,0.015967391607431908,0.39800803326125334
metadata,1,0.0001,balanced,15,0.560856030261051,0.06927081605897259,0.2500226757369615,0.0654106188729926,0.4054393529990062,0.06204831705315826,0.016020806573805307,0.3974289497121035
metadata,8,1.0,none,15,0.5977238865057188,0.07666610183584095,0.21158730158730157,0.05044467297490884,0.40465559404651025,0.05668247170123853,0.014635351261384667,0.3973379184158179
metadata,5,0.01,balanced,15,0.5656616950931134,0.06345545988907048,0.23557823129251707,0.0636203554854713,0.4006199631928151,0.05823281960011076,0.01503564936759532,0.3931021385090175
metadata,6,0.1,none,15,0.5911873094028891,0.07058282153365932,0.1996371882086168,0.04912135748425543,0.395412248805753,0.056505138250971636,0.014589563961410722,0.3881174668250476
metadata,4,0.01,none,15,0.583015806130454,0.06661549205864897,0.17519274376417235,0.033051371540346604,0.3791042749473132,0.04415393635403348,0.011400497344578259,0.37340402627502406
metadata,0,0.0001,none,15,0.586100811436474,0.06727055947455664,0.14285714285714282,2.872975021810196e-17,0.3644789771468084,0.033635279737278305,0.008684591884500444,0.36013668120455816
metadata,2,0.001,none,15,0.5861063505833174,0.06777261999964891,0.14285714285714282,2.872975021810196e-17,0.36448174672023015,0.03388630999982444,0.008749407619582794,0.36010704291043877
uni2,5,0.01,balanced,15,0.8270104806052012,0.02425187962183762,0.4387528344671202,0.05490619954379826,0.6328816575361607,0.03450010246675798,0.008907888153080204,0.6284277134596206
uni2,4,0.01,none,15,0.8259072621650261,0.025097673124106375,0.4245578231292517,0.06885840595841865,0.6252325426471389,0.04015008192020137,0.01036670657505356,0.6200491893596122
uni2,7,0.1,balanced,15,0.8178458110595792,0.024254852132401666,0.4266893424036281,0.07501521661575823,0.6222675767316037,0.04617827934278162,0.011923180456740479,0.6163059865032334
uni2,8,1.0,none,15,0.810723195350007,0.027116835704785007,0.43058956916099783,0.0712458288333819,0.6206563822555023,0.04601007766999066,0.011879750971572237,0.6147165067697162
uni2,3,0.001,balanced,15,0.8213441231339782,0.025220072194554827,0.4164625850340136,0.05537145142816174,0.6189033540839959,0.03487396803974309,0.009004419828939646,0.6144011441695261
uni2,6,0.1,none,15,0.8176494402384671,0.0250770185708543,0.4210657596371882,0.0670815547808291,0.6193575999378277,0.041256484183755285,0.010652378411116928,0.6140314107322692
uni2,9,1.0,balanced,15,0.8095399507899508,0.026361020830035754,0.4224943310657597,0.0695242073148142,0.6160171409278552,0.045367864575418186,0.011713932263572537,0.6101601747960689
uni2,11,10.0,balanced,15,0.8051370035148504,0.028558562579901397,0.42074829931972785,0.07397280555985841,0.6129426514172891,0.04836823048863018,0.012488623411199102,0.6066983397116895
uni2,10,10.0,none,15,0.8051634941050054,0.030144916317367387,0.4197959183673469,0.0666685507756211,0.6124797062361761,0.046070374877432256,0.011895319643588512,0.6065320464143819
uni2,2,0.001,none,15,0.8223685259415073,0.02462815752710721,0.38848072562358277,0.06407775695873513,0.6054246257825451,0.03978510601997088,0.010272470202829577,0.6002883906811303
uni2,1,0.0001,balanced,15,0.8002371792190632,0.03093865465157361,0.37902494331065756,0.07217970859442288,0.5896310612648604,0.045769149623307574,0.011817543617409713,0.5837222894561556
uni2,0,0.0001,none,15,0.8011901539530939,0.029664726028487826,0.2944444444444444,0.03094801992651185,0.5478172991987692,0.0271765108736462,0.007016944934777101,0.5443088267313807
virchow2,4,0.01,none,15,0.8069228290304895,0.046196618594185675,0.3974829931972789,0.08120075249789005,0.6022029111138842,0.060795984566323076,0.01569745571611016,0.5943541832558291
virchow2,2,0.001,none,15,0.8115636353907576,0.034734465221788274,0.3872789115646259,0.07075680221012814,0.5994212734776917,0.049061215036126,0.012667551251974461,0.5930874978517044
virchow2,5,0.01,balanced,15,0.8066332868879453,0.04770709540553973,0.3943764172335601,0.07698513839263897,0.6005048520607528,0.059503402615358754,0.015363712491463953,0.5928229958150208
virchow2,7,0.1,balanced,15,0.7959204898314628,0.04805709923746649,0.39653061224489794,0.0918186643129533,0.5962255510381804,0.0670056513649395,0.01730078478921273,0.587575158643574
virchow2,3,0.001,balanced,15,0.8106044043181726,0.03513571748917765,0.3785714285714285,0.08509686695544887,0.5945879164448006,0.054444344808701514,0.014057469382618346,0.5875591817534914
virchow2,6,0.1,none,15,0.7959979491216552,0.04829373325633742,0.38891156462585036,0.07902152956018665,0.5924547568737528,0.06005447058729146,0.015505997629992198,0.5847017580587567
virchow2,1,0.0001,balanced,15,0.7920742930867154,0.030010502526515007,0.3882539682539682,0.08113957282059002,0.5901641306703417,0.04327052123224854,0.011172400540947534,0.5845779303998679
virchow2,9,1.0,balanced,15,0.7882638145153674,0.05074213479067629,0.3901814058956916,0.09063523752250248,0.5892226102055296,0.06794562566590732,0.017543485110113485,0.5804508676504728
virchow2,10,10.0,none,15,0.7840251378289681,0.049636370160648646,0.3939229024943311,0.09930681941044914,0.5889740201616497,0.07176501872290472,0.01852964815693823,0.5797091960831806
virchow2,8,1.0,none,15,0.788692617672949,0.0505694947386118,0.38780045351473924,0.09323822338610269,0.5882465355938441,0.06748571583144088,0.017424736901470447,0.5795341671431089
virchow2,11,10.0,balanced,15,0.7825204017859299,0.0494795650492774,0.38970521541950115,0.09076348603322001,0.5861128086027154,0.06741273915350492,0.017405894404249948,0.5774098614005905
virchow2,0,0.0001,none,15,0.7909845203106073,0.03179992294186982,0.3071428571428571,0.03445630275409273,0.5490636887267322,0.028760383775775045,0.0074258991596073826,0.5453507391469284
