split_index,repeat_index,fold_index,stream,macro_auroc,balanced_accuracy,composite_score
0,0,0,metadata,0.5207445993160279,0.17551020408163268,0.3481274016988303
0,0,0,uni2,0.7628147249575823,0.37959183673469393,0.5712032808461381
0,0,0,virchow2,0.7105846798703942,0.24387755102040817,0.4772311154454012
0,0,0,prism2,0.7649727785442071,0.37142857142857144,0.5682006749863893
1,0,1,metadata,0.6271573263692829,0.37857142857142856,0.5028643774703557
1,0,1,uni2,0.8234845227236532,0.4404761904761905,0.6319803565999219
1,0,1,virchow2,0.8338041668476451,0.42857142857142855,0.6311877977095368
1,0,1,prism2,0.8952519943824292,0.5761904761904761,0.7357212352864526
2,0,2,metadata,0.7058736734280212,0.3571428571428571,0.5315082652854392
2,0,2,uni2,0.7930670778496866,0.4214285714285714,0.607247824639129
2,0,2,virchow2,0.826949318797145,0.47619047619047616,0.6515698974938106
2,0,2,prism2,0.8865786568503958,0.5166666666666667,0.7016226617585313
3,0,3,metadata,0.46874438061938056,0.15476190476190474,0.31175314269064264
3,0,3,uni2,0.8299234099234098,0.4761904761904762,0.6530569430569431
3,0,3,virchow2,0.743538961038961,0.3095238095238095,0.5265313852813852
3,0,3,prism2,0.8285780885780886,0.32142857142857145,0.57500333000333
4,0,4,metadata,0.6102729064413847,0.2952380952380952,0.4527555008397399
4,0,4,uni2,0.8151921267138659,0.42857142857142855,0.6218817776426472
4,0,4,virchow2,0.8325389284628415,0.42857142857142855,0.630555178517135
4,0,4,prism2,0.8774527827245219,0.5642857142857143,0.720869248505118
5,1,0,metadata,0.5840184418755847,0.24387755102040817,0.41394799644799646
5,1,0,uni2,0.8326812341098054,0.3925170068027211,0.6125991204562633
5,1,0,virchow2,0.7785911971626257,0.27346938775510204,0.5260302924588639
5,1,0,prism2,0.8632134532134533,0.5214285714285715,0.6923210123210124
6,1,1,metadata,0.6704237610215872,0.330952380952381,0.5006880709869841
6,1,1,uni2,0.8558794466403163,0.5571428571428572,0.7065111518915868
6,1,1,virchow2,0.8146913412674283,0.34285714285714286,0.5787742420622856
6,1,1,prism2,0.9247833688051078,0.7095238095238096,0.8171535891644587
7,1,2,metadata,0.6243032329988852,0.29047619047619044,0.45738971173753784
7,1,2,uni2,0.8597288219027349,0.4333333333333333,0.6465310776180341
7,1,2,virchow2,0.8697482589873894,0.41428571428571426,0.6420169866365518
7,1,2,prism2,0.8721126699387568,0.5761904761904761,0.7241515730646164
8,1,3,metadata,0.5158551864801865,0.21428571428571427,0.3650704503829504
8,1,3,uni2,0.8281880619380618,0.38095238095238093,0.6045702214452213
8,1,3,virchow2,0.8115313852813852,0.40476190476190477,0.6081466450216451
8,1,3,prism2,0.8736571761571762,0.4761904761904762,0.6749238261738262
9,1,4,metadata,0.5379166304709783,0.20714285714285713,0.3725297438069177
9,1,4,uni2,0.8261802328106677,0.4023809523809524,0.61428059259581
9,1,4,virchow2,0.8155374878744442,0.43809523809523815,0.6268163629848412
9,1,4,prism2,0.879325529542921,0.41428571428571426,0.6468056219143177
10,2,0,metadata,0.7377812267097982,0.3306122448979592,0.5341967358038787
10,2,0,uni2,0.834733731876589,0.40442176870748303,0.619577750292036
10,2,0,virchow2,0.8124008531151389,0.42108843537414964,0.6167446442446443
10,2,0,prism2,0.916888481888482,0.4928571428571429,0.7048728123728125
11,2,1,metadata,0.601642705120966,0.2714285714285714,0.4365356382747687
11,2,1,uni2,0.8485714285714286,0.5214285714285715,0.685
11,2,1,virchow2,0.8766174224326397,0.4857142857142857,0.6811658540734628
11,2,1,prism2,0.8900041806020067,0.5619047619047619,0.7259544712533843
12,2,2,metadata,0.6125321508201943,0.21428571428571433,0.4134089325529543
12,2,2,uni2,0.8292291766204809,0.5047619047619047,0.6669955406911928
12,2,2,virchow2,0.8036976429367735,0.4523809523809524,0.6280392976588629
12,2,2,prism2,0.8795770533814011,0.6,0.7397885266907005
13,2,3,metadata,0.6080621461871463,0.14285714285714285,0.37545964452214453
13,2,3,uni2,0.8442965367965368,0.380952380952381,0.6126244588744589
13,2,3,virchow2,0.7410522810522809,0.32142857142857145,0.5312404262404262
13,2,3,prism2,0.8221611721611721,0.35714285714285715,0.5896520146520147
14,2,4,metadata,0.5430156347275913,0.16666666666666666,0.35484115069712896
14,2,4,uni2,0.8211866756431974,0.4571428571428572,0.6391647663930273
14,2,4,virchow2,0.8325585103302494,0.5214285714285715,0.6769935408794104
14,2,4,prism2,0.86242851351547,0.5071428571428571,0.6847856853291636
