trial_index,c_value,class_weight,split_index,repeat_index,fold_index,macro_auroc,balanced_accuracy,composite_score
0,0.01,none,0,0,0,0.7594979887837031,0.2928571428571428,0.526177565820423
0,0.01,none,1,0,1,0.8703143776513343,0.3547619047619048,0.6125381412066195
0,0.01,none,2,0,2,0.835063451041712,0.3976190476190476,0.6163412493303798
0,0.01,none,3,0,3,0.8369971694971695,0.39285714285714285,0.6149271561771562
0,0.01,none,4,0,4,0.8637987736900781,0.37857142857142856,0.6211851011307533
0,0.01,none,5,1,0,0.8794114351257207,0.43571428571428567,0.6575628604200032
0,0.01,none,6,1,1,0.867524486383182,0.36428571428571427,0.6159051003344481
0,0.01,none,7,1,2,0.8645372562220388,0.3904761904761904,0.6275067233491146
0,0.01,none,8,1,3,0.8359065934065935,0.369047619047619,0.6024771062271063
0,0.01,none,9,1,4,0.8136969009251617,0.37142857142857144,0.5925627361768666
0,0.01,none,10,2,0,0.8664122914122914,0.24285714285714285,0.5546347171347171
0,0.01,none,11,2,1,0.9004304029304029,0.4714285714285714,0.6859294871794872
0,0.01,none,12,2,2,0.8322521138282009,0.35714285714285715,0.594697485485529
0,0.01,none,13,2,3,0.8062366799866799,0.39285714285714285,0.5995469114219114
0,0.01,none,14,2,4,0.8008228365837062,0.45,0.6254114182918531
1,0.01,balanced,0,0,0,0.7746526489383633,0.286734693877551,0.5306936714079571
1,0.01,balanced,1,0,1,0.8804981250633427,0.5047619047619049,0.6926300149126238
1,0.01,balanced,2,0,2,0.8201881813838334,0.5404761904761904,0.680332185930012
1,0.01,balanced,3,0,3,0.8401103063603063,0.4523809523809524,0.6462456293706293
1,0.01,balanced,4,0,4,0.8693436454849498,0.4761904761904762,0.672767060837713
1,0.01,balanced,5,1,0,0.8799608856751714,0.36530612244897964,0.6226335040620755
1,0.01,balanced,6,1,1,0.8719306418219462,0.5880952380952381,0.7300129399585922
1,0.01,balanced,7,1,2,0.849804615674181,0.5047619047619047,0.6772832602180429
1,0.01,balanced,8,1,3,0.8494509657009657,0.41666666666666663,0.6330588161838162
1,0.01,balanced,9,1,4,0.821726244769723,0.4166666666666667,0.6191964557181948
1,0.01,balanced,10,2,0,0.8665588115588115,0.5523809523809524,0.7094698819698819
1,0.01,balanced,11,2,1,0.8988594919573181,0.569047619047619,0.7339535555024685
1,0.01,balanced,12,2,2,0.8284348079456774,0.42857142857142855,0.628503118258553
1,0.01,balanced,13,2,3,0.8028238428238428,0.369047619047619,0.5859357309357309
1,0.01,balanced,14,2,4,0.79919167788733,0.369047619047619,0.5841196484674746
2,0.1,none,0,0,0,0.7318955383241098,0.3153061224489796,0.5236008303865447
2,0.1,none,1,0,1,0.863832453778106,0.37380952380952376,0.6188209887938149
2,0.1,none,2,0,2,0.8549602209384818,0.44523809523809527,0.6500991580882886
2,0.1,none,3,0,3,0.8328650516150515,0.369047619047619,0.6009563353313353
2,0.1,none,4,0,4,0.8634649227584009,0.4571428571428572,0.660303889950629
2,0.1,none,5,1,0,0.8794297501440358,0.5142857142857143,0.696857732214875
2,0.1,none,6,1,1,0.8563495381430163,0.4619047619047619,0.6591271500238891
2,0.1,none,7,1,2,0.8639199206590511,0.5047619047619047,0.6843409127104779
2,0.1,none,8,1,3,0.8194638694638695,0.45238095238095244,0.635922410922411
2,0.1,none,9,1,4,0.8165434927391448,0.37857142857142856,0.5975574606552867
2,0.1,none,10,2,0,0.8647456247456249,0.4571428571428572,0.660944240944241
2,0.1,none,11,2,1,0.8788218665392578,0.4714285714285714,0.6751252189839145
2,0.1,none,12,2,2,0.818219316914969,0.35714285714285715,0.5876810870289131
2,0.1,none,13,2,3,0.8064872627372627,0.35714285714285715,0.5818150599400599
2,0.1,none,14,2,4,0.791403469718687,0.41428571428571426,0.6028445920022006
3,0.1,balanced,0,0,0,0.7433970526827671,0.286734693877551,0.5150658732801591
3,0.1,balanced,1,0,1,0.8681016447320795,0.5047619047619049,0.6864317747469921
3,0.1,balanced,2,0,2,0.8459531410618366,0.5404761904761904,0.6932146657690135
3,0.1,balanced,3,0,3,0.8185755910755911,0.35714285714285715,0.5878592241092241
3,0.1,balanced,4,0,4,0.8598904356513053,0.40476190476190477,0.632326170206605
3,0.1,balanced,5,1,0,0.8761696768839625,0.42959183673469387,0.6528807568093282
3,0.1,balanced,6,1,1,0.8521311116419812,0.5452380952380952,0.6986846034400382
3,0.1,balanced,7,1,2,0.8591248425487555,0.5047619047619047,0.6819433736553302
3,0.1,balanced,8,1,3,0.8186322011322013,0.40476190476190477,0.611697052947053
3,0.1,balanced,9,1,4,0.8145728365837062,0.3023809523809523,0.5584768944823293
3,0.1,balanced,10,2,0,0.874104599104599,0.5047619047619049,0.689433251933252
3,0.1,balanced,11,2,1,0.8749372909698997,0.42142857142857143,0.6481829311992355
3,0.1,balanced,12,2,2,0.8224438423894946,0.4523809523809524,0.6374123973852235
3,0.1,balanced,13,2,3,0.8035327172827174,0.29761904761904756,0.5505758824508824
3,0.1,balanced,14,2,4,0.7954058984493768,0.40952380952380957,0.6024648539865932
4,1.0,none,0,0,0,0.7215641501355786,0.2795918367346939,0.5005779934351362
4,1.0,none,1,0,1,0.8767197295458166,0.4095238095238095,0.643121769534813
4,1.0,none,2,0,2,0.8721144797231754,0.46904761904761905,0.6705810493853972
4,1.0,none,3,0,3,0.7902147852147853,0.3095238095238095,0.5498692973692973
4,1.0,none,4,0,4,0.8210383095165704,0.42142857142857143,0.6212334404725709
4,1.0,none,5,1,0,0.848928822500251,0.45,0.6494644112501256
4,1.0,none,6,1,1,0.8259468611099045,0.43809523809523804,0.6320210496025712
4,1.0,none,7,1,2,0.8618574903357513,0.5571428571428572,0.7095001737393043
4,1.0,none,8,1,3,0.7963832001332002,0.40476190476190477,0.6005725524475525
4,1.0,none,9,1,4,0.8211065926826796,0.2785714285714286,0.5498390106270541
4,1.0,none,10,2,0,0.8862087912087911,0.5047619047619049,0.695485347985348
4,1.0,none,11,2,1,0.8550292642140468,0.42142857142857143,0.6382289178213091
4,1.0,none,12,2,2,0.810895101275536,0.39285714285714285,0.6018761220663394
4,1.0,none,13,2,3,0.8031256243756244,0.2857142857142857,0.5444199550449551
4,1.0,none,14,2,4,0.780444320172581,0.3380952380952381,0.5592697791339096
5,1.0,balanced,0,0,0,0.725516441230727,0.22244897959183674,0.47398271041128187
5,1.0,balanced,1,0,1,0.8697900107139238,0.4333333333333333,0.6515616720236286
5,1.0,balanced,2,0,2,0.8667938402177533,0.5404761904761904,0.7036350153469719
5,1.0,balanced,3,0,3,0.7741466866466867,0.2857142857142857,0.5299304861804862
5,1.0,balanced,4,0,4,0.8228602556863426,0.42142857142857143,0.622144413557457
5,1.0,balanced,5,1,0,0.8427383463097747,0.42959183673469387,0.6361650915222343
5,1.0,balanced,6,1,1,0.8278516230146665,0.41428571428571426,0.6210686686501904
5,1.0,balanced,7,1,2,0.8553007137789747,0.5333333333333333,0.694317023556154
5,1.0,balanced,8,1,3,0.8088832001332001,0.4523809523809524,0.6306320762570763
5,1.0,balanced,9,1,4,0.8172220171133214,0.30238095238095236,0.5598014847471369
5,1.0,balanced,10,2,0,0.8854945054945054,0.5404761904761906,0.712985347985348
5,1.0,balanced,11,2,1,0.8412947921643573,0.42142857142857143,0.6313616817964643
5,1.0,balanced,12,2,2,0.8081478485282834,0.46904761904761905,0.6385977337879511
5,1.0,balanced,13,2,3,0.797059607059607,0.32142857142857145,0.5592440892440892
5,1.0,balanced,14,2,4,0.7849086058868666,0.3738095238095238,0.5793590648481952
6,10.0,none,0,0,0,0.7225473732616587,0.28775510204081634,0.5051512376512375
6,10.0,none,1,0,1,0.8380262672110498,0.3619047619047619,0.5999655145579058
6,10.0,none,2,0,2,0.8740135951005517,0.5761904761904761,0.7251020356455139
6,10.0,none,3,0,3,0.7632604895104895,0.32142857142857145,0.5423445304695305
6,10.0,none,4,0,4,0.8046692618975227,0.42142857142857143,0.6130489166630471
6,10.0,none,5,1,0,0.8420522334808048,0.42959183673469387,0.6358220351077494
6,10.0,none,6,1,1,0.7967266429222951,0.3738095238095238,0.5852680833659094
6,10.0,none,7,1,2,0.8355103592060115,0.5285714285714286,0.68204089388872
6,10.0,none,8,1,3,0.781188394938395,0.41666666666666663,0.5989275308025308
6,10.0,none,9,1,4,0.7897962725680117,0.3666666666666667,0.5782314696173392
6,10.0,none,10,2,0,0.8664835164835163,0.4928571428571429,0.6796703296703296
6,10.0,none,11,2,1,0.8540380633858894,0.4571428571428572,0.6555904602643733
6,10.0,none,12,2,2,0.7845621407577928,0.4404761904761905,0.6125191656169917
6,10.0,none,13,2,3,0.7719871794871794,0.2857142857142857,0.5288507326007326
6,10.0,none,14,2,4,0.7702281233259496,0.3380952380952381,0.5541616807105938
7,10.0,balanced,0,0,0,0.7161435390006818,0.2591836734693878,0.4876636062350348
7,10.0,balanced,1,0,1,0.8366981569155482,0.3619047619047619,0.599301459410155
7,10.0,balanced,2,0,2,0.8710374046243612,0.5761904761904761,0.7236139404074187
7,10.0,balanced,3,0,3,0.7482958707958709,0.2857142857142857,0.5170050782550784
7,10.0,balanced,4,0,4,0.8098840652101522,0.4571428571428572,0.6335134611765048
7,10.0,balanced,5,1,0,0.841099852528424,0.42959183673469387,0.635345844631559
7,10.0,balanced,6,1,1,0.7983916445872968,0.3738095238095238,0.5861005841984104
7,10.0,balanced,7,1,2,0.8327830864787387,0.45238095238095244,0.6425820194298455
7,10.0,balanced,8,1,3,0.7790238927738927,0.41666666666666663,0.5978452797202797
7,10.0,balanced,9,1,4,0.7779496409387713,0.330952380952381,0.5544510109455761
7,10.0,balanced,10,2,0,0.8723626373626373,0.5404761904761906,0.706419413919414
7,10.0,balanced,11,2,1,0.845109491957318,0.4571428571428572,0.6511261745500876
7,10.0,balanced,12,2,2,0.7868007535942318,0.4166666666666667,0.6017337101304493
7,10.0,balanced,13,2,3,0.7730694305694306,0.32142857142857145,0.547249000999001
7,10.0,balanced,14,2,4,0.7792693719324156,0.3380952380952381,0.5586823050138269
