representation,trial_index,c_value,class_weight,repeat_index,fold_index,macro_auroc,balanced_accuracy,composite_score
early_concat,0,0.0001,none,0,0,0.7979819122676266,0.2642857142857143,0.5311338132766704
early_concat,0,0.0001,none,0,1,0.8609345364780149,0.44523809523809527,0.6530863158580551
early_concat,0,0.0001,none,0,2,0.8927782543543412,0.42142857142857143,0.6571034128914564
early_concat,0,0.0001,none,0,3,0.8636405261405261,0.41666666666666663,0.6401535964035964
early_concat,0,0.0001,none,0,4,0.8581670322431192,0.5214285714285715,0.6897978018358453
early_concat,0,0.0001,none,1,0,0.8640377611806184,0.37857142857142856,0.6213045948760234
early_concat,0,0.0001,none,1,1,0.9204218426501036,0.5,0.7102109213250518
early_concat,0,0.0001,none,1,2,0.8840868189781234,0.5047619047619047,0.6944243618700141
early_concat,0,0.0001,none,1,3,0.8664135864135863,0.35714285714285715,0.6117782217782217
early_concat,0,0.0001,none,1,4,0.8366010981771852,0.37857142857142856,0.6075862633743069
early_concat,0,0.0001,none,2,0,0.8915588115588114,0.37857142857142856,0.6350651200651201
early_concat,0,0.0001,none,2,1,0.8901528905876732,0.4428571428571429,0.666505016722408
early_concat,0,0.0001,none,2,2,0.8580084770302161,0.42857142857142855,0.6432899528008224
early_concat,0,0.0001,none,2,3,0.8242220279720279,0.40476190476190477,0.6144919663669663
early_concat,0,0.0001,none,2,4,0.8761112438286353,0.4428571428571429,0.6594841933428891
early_concat,1,0.0001,balanced,0,0,0.804428798714513,0.39761904761904765,0.6010239231667803
early_concat,1,0.0001,balanced,0,1,0.8692963377202508,0.4761904761904762,0.6727434069553635
early_concat,1,0.0001,balanced,0,2,0.87495926175274,0.5404761904761904,0.7077177261144652
early_concat,1,0.0001,balanced,0,3,0.8678866966366966,0.4285714285714285,0.6482290626040625
early_concat,1,0.0001,balanced,0,4,0.8584159318941927,0.4880952380952381,0.6732555849947154
early_concat,1,0.0001,balanced,1,0,0.8658692630121202,0.5047619047619049,0.6853155838870125
early_concat,1,0.0001,balanced,1,1,0.9191626851409459,0.5880952380952381,0.753628961618092
early_concat,1,0.0001,balanced,1,2,0.8777528811767942,0.6119047619047618,0.744828821540778
early_concat,1,0.0001,balanced,1,3,0.8707967032967033,0.40476190476190477,0.637779304029304
early_concat,1,0.0001,balanced,1,4,0.8302273270208052,0.43809523809523815,0.6341612825580216
early_concat,1,0.0001,balanced,2,0,0.8805881155881157,0.6238095238095237,0.7521988196988196
early_concat,1,0.0001,balanced,2,1,0.8735324096193661,0.46904761904761905,0.6712900143334926
early_concat,1,0.0001,balanced,2,2,0.8585881871751438,0.4761904761904762,0.66738933168281
early_concat,1,0.0001,balanced,2,3,0.825305944055944,0.4166666666666667,0.6209863053613054
early_concat,1,0.0001,balanced,2,4,0.8639321548017199,0.6,0.73196607740086
early_concat,2,0.001,none,0,0,0.7639848511277083,0.39999999999999997,0.5819924255638541
early_concat,2,0.001,none,0,1,0.8819645571819484,0.4642857142857143,0.6731251357338314
early_concat,2,0.001,none,0,2,0.8916027812766943,0.5166666666666667,0.7041347239716805
early_concat,2,0.001,none,0,3,0.8366362803862805,0.38095238095238093,0.6087943306693306
