representation,trial_index,c_value,class_weight,fold_count,macro_auroc_mean,macro_auroc_std,balanced_accuracy_mean,balanced_accuracy_std,composite_mean,composite_std,composite_sem,selection_score
early_concat,1,0.0001,balanced,15,0.8627161798404035,0.026770654214970074,0.4976190476190476,0.07785178579002838,0.6801676137297256,0.04875543325928147,0.01258859873668829,0.6738733143613814
early_concat,3,0.001,balanced,15,0.8632521400461359,0.03612291231685121,0.4946485260770975,0.08085907218771142,0.6789503330616166,0.05488573837115605,0.01417143671038565,0.6718646147064238
early_concat,2,0.001,none,15,0.8659098684461003,0.03679467539788151,0.48111111111111116,0.09630132137429007,0.6735104897786057,0.061196041089259925,0.015800749866168563,0.6656101148455215
early_concat,5,0.01,balanced,15,0.848575077556444,0.03936132375284895,0.47757369614512474,0.07698251919890625,0.6630743868507843,0.05507287695253364,0.014219755684326204,0.6559645090086212
early_concat,4,0.01,none,15,0.8484801507441259,0.040476994442269765,0.47473922902494325,0.08500412173020463,0.6616096898845346,0.058405589762712165,0.01508025843176044,0.6540695606686544
early_concat,6,0.1,none,15,0.8378462678146942,0.040527941515244005,0.48083900226757365,0.09157123074480024,0.6593426350411341,0.06093208721099928,0.01573259726785721,0.6514763364072055
early_concat,7,0.1,balanced,15,0.8376592985459445,0.04019366128572437,0.4614512471655328,0.08441109709795246,0.6495552728557387,0.05915806954110932,0.015274547875099775,0.6419179989181888
early_concat,8,1.0,none,15,0.8318913464229198,0.04254499408659385,0.464172335600907,0.08424058080551969,0.6480318410119135,0.05919715028045515,0.015284638478609367,0.6403895217726088
early_concat,9,1.0,balanced,15,0.8310673614974858,0.04302864983379933,0.4603401360544217,0.08196036826889629,0.6457037487759537,0.05853001413159071,0.015112384665662372,0.6381475564431225
early_concat,0,0.0001,none,15,0.8656744546573738,0.03016600421166006,0.4190476190476191,0.06503095373213173,0.6423610368524965,0.04356281216421944,0.011247869735065585,0.6367371019849637
early_concat,10,10.0,none,15,0.8233032849942787,0.047577547807341705,0.4608390022675737,0.07498160997779105,0.6420711436309262,0.05925376217267355,0.015299255606326645,0.6344215158277628
early_concat,11,10.0,balanced,15,0.8233526650291663,0.047457016545942095,0.4523356009070295,0.07737466379114537,0.6378441329680978,0.060207153152903196,0.015545420098916896,0.6300714229186394
early_l2_concat,1,0.0001,balanced,15,0.8624689681149307,0.028071679646964234,0.5034920634920634,0.07664546685103625,0.6829805158034972,0.05010334734104489,0.01293662865607417,0.6765122014754601
early_l2_concat,3,0.001,balanced,15,0.8606251247219157,0.0371885045705112,0.49195011337868483,0.08526573545568433,0.6762876190503003,0.05856491879292498,0.015121397010465882,0.6687269205450674
early_l2_concat,2,0.001,none,15,0.8626112855590082,0.03853340165352025,0.4726984126984126,0.08854850604313196,0.6676548491287104,0.05874418586925239,0.015167683570541837,0.6600710073434395
early_l2_concat,4,0.01,none,15,0.8469222269563884,0.04464974054948768,0.473469387755102,0.09316003029405319,0.6601958073557452,0.0625326426395785,0.016145858902495154,0.6521228779044976
early_l2_concat,5,0.01,balanced,15,0.846184349926586,0.043424697578488027,0.4739229024943311,0.08918847188897494,0.6600536262104586,0.06156361768679044,0.01589565773554798,0.6521057973426846
early_l2_concat,7,0.1,balanced,15,0.8361718198410747,0.04752021666828968,0.4742403628117914,0.09262863294852659,0.6552060913264329,0.0657349889296626,0.01697270115918081,0.6467197407468426
early_l2_concat,6,0.1,none,15,0.8379538788027401,0.0473515410752715,0.4657596371882085,0.0904110138356927,0.6518567579954744,0.06406615312347638,0.01654180960685322,0.6435858531920478
early_l2_concat,9,1.0,balanced,15,0.8322983466958623,0.04665907088198749,0.45693877551020395,0.0878736552391343,0.6446185611030333,0.0637283823067467,0.016454597556984623,0.636391262324541
early_l2_concat,8,1.0,none,15,0.8289882401357558,0.047705516302350696,0.45297052154195006,0.09656548133559542,0.640979380838853,0.06785488278255812,0.017520055398380266,0.6322193531396628
early_l2_concat,10,10.0,none,15,0.8245311932910276,0.048951087240854105,0.4560770975056689,0.08328987449597165,0.6403041453983482,0.06267537574676202,0.016182712432300104,0.6322127891821981
early_l2_concat,0,0.0001,none,15,0.8645588458968376,0.031605243112276984,0.4111111111111112,0.0696877822810006,0.6378349785039745,0.04630625229216983,0.011956222930190184,0.6318568670388794
early_l2_concat,11,10.0,balanced,15,0.8226830206638694,0.04829572915438879,0.4499546485260771,0.08625372721119305,0.6363188345949733,0.06415113990800728,0.016563753100262278,0.6280369580448422
